@relation alpha2
@attribute a1 {a,b,c,d,e,f}
@attribute a2 {a,b,c,d,e,f}
@attribute a3 {a,b,c,d,e,f}
@attribute a4 {a,b,c,d,e,f}
@attribute a5 {a,b,c,d,e,f}
@attribute a6 {a,b,c,d,e,f}
@attribute a7 {a,b,c,d,e,f}
@attribute a8 {a,b,c,d,e,f}
@attribute a9 {a,b,c,d,e,f}
@attribute a10 {a,b,c,d,e,f}
@attribute class {yes,no}
@data
a,f,c,f,c,d,f,e,e,c,no
b,e,a,a,a,d,f,d,c,c,no
b,b,f,c,f,c,b,f,a,d,no
c,f,b,c,c,d,d,f,a,b,no
f,c,c,f,a,a,d,b,f,b,no
d,e,f,a,f,a,d,b,a,d,yes
f,e,f,f,c,f,b,d,d,c,no
f,d,f,c,f,f,a,f,c,d,no
a,b,a,f,b,f,c,d,c,e,no
d,b,a,e,e,a,f,c,e,b,no
f,c,e,b,b,f,d,d,d,a,no
b,c,f,d,c,c,e,b,c,f,yes
c,d,d,a,b,c,e,a,b,f,yes
d,a,d,c,b,f,d,a,a,a,no
d,d,f,c,d,c,e,e,e,e,no
d,a,f,d,b,b,f,b,b,a,no
e,d,b,c,b,b,c,a,e,f,no
f,d,e,a,a,e,f,c,e,b,no
d,c,d,e,f,a,e,d,a,a,no
b,c,d,f,b,a,c,d,e,c,yes
b,c,f,e,e,b,c,f,f,a,yes
f,d,c,f,b,d,d,c,c,e,no
c,d,a,a,d,a,a,b,a,e,no
b,b,f,a,c,a,d,a,f,b,no
c,b,c,b,b,b,c,b,f,b,no
f,c,e,c,e,a,c,c,b,a,no
a,f,b,b,b,a,d,b,b,c,no
c,c,e,f,a,b,c,e,c,e,no
e,f,c,c,c,f,a,a,b,b,no
a,a,b,e,b,d,d,a,b,c,no
d,f,d,c,f,b,e,b,b,c,no
d,c,d,a,d,b,f,a,b,a,no
c,e,f,c,d,e,f,f,a,b,yes
e,f,f,d,c,b,b,f,c,c,no
e,d,d,b,e,a,e,e,e,f,no
d,a,a,e,b,b,a,f,a,c,no
d,c,b,b,d,d,a,b,f,b,no
a,e,d,b,c,b,a,f,d,e,no
d,a,c,c,f,d,d,a,f,b,no
c,c,f,b,f,a,d,c,f,c,no
d,f,b,a,e,a,d,f,d,d,no
d,d,a,a,e,a,b,d,c,a,no
a,f,b,d,d,c,b,d,b,c,no
e,e,b,b,c,b,e,a,e,d,no
d,d,b,b,a,b,d,a,d,f,no
a,c,f,a,b,f,f,e,e,a,yes
a,d,d,b,b,b,c,e,d,c,no
c,e,a,b,a,f,d,f,e,c,no
b,e,a,f,c,c,a,b,e,e,no
e,c,c,f,e,e,d,c,e,e,no
f,c,d,e,e,e,a,c,b,f,no
b,a,f,e,d,b,d,f,f,f,no
d,c,f,c,f,b,b,e,a,b,no
e,e,b,c,b,e,a,b,e,d,no
a,a,e,a,f,a,f,d,e,c,no
f,e,f,f,e,b,f,c,a,f,no
c,b,c,d,c,b,b,a,e,c,no
f,a,e,a,e,b,d,b,b,b,no
b,d,c,f,f,d,a,e,c,e,no
a,a,a,a,f,a,a,a,b,f,no
d,f,d,a,b,b,d,f,a,b,no
e,e,f,c,c,e,f,a,c,a,no
b,d,b,b,b,e,f,a,c,d,no
b,c,a,d,d,d,c,d,c,d,no
a,c,d,e,c,e,b,f,a,e,yes
f,e,a,a,e,d,e,b,e,a,no
e,a,b,b,a,f,a,b,b,b,no
b,c,e,b,e,a,a,e,b,a,yes
e,e,b,d,f,a,f,e,a,e,no
e,b,a,b,e,e,a,d,b,b,no
e,c,e,e,b,b,c,b,a,a,no
f,b,f,f,a,a,c,d,c,f,no
f,c,c,c,d,f,a,b,e,a,yes
a,f,d,c,d,e,a,a,e,e,yes
f,c,b,c,f,a,b,d,b,d,no
c,e,a,a,b,c,d,f,d,e,yes
f,f,b,d,c,f,e,b,c,b,no
c,e,f,f,c,d,e,c,c,b,yes
d,c,f,d,e,f,c,b,b,d,yes
a,b,e,a,c,e,e,e,e,f,yes
c,f,a,a,f,f,c,c,f,d,no
f,a,c,b,d,a,c,b,d,a,no
c,f,f,a,e,a,a,d,f,a,no
e,c,e,e,b,b,d,e,f,d,no
c,c,e,d,e,f,e,d,d,c,yes
b,b,f,c,e,c,a,d,b,b,no
b,a,a,a,d,e,d,a,b,a,yes
e,b,c,f,e,e,b,c,d,a,no
a,e,d,b,b,f,b,e,c,d,no
f,b,e,b,d,d,a,a,e,a,no
c,f,a,b,c,d,a,e,b,a,yes
a,b,f,a,f,c,e,c,d,a,yes
f,d,d,f,a,a,e,f,f,b,no
c,c,a,e,a,d,c,f,b,c,no
e,e,d,a,b,f,e,b,b,d,yes
d,f,e,c,e,b,e,b,e,c,no
a,f,b,b,f,a,f,a,b,f,no
b,d,a,c,f,f,f,e,d,d,no
e,a,f,e,a,f,c,e,c,f,no
f,d,e,d,b,b,f,c,a,e,no
d,a,d,d,c,c,e,d,d,d,no
e,b,d,e,d,d,c,a,c,c,no
c,e,d,f,f,e,f,b,c,d,no
a,c,e,c,a,e,c,a,a,a,yes
d,c,a,c,e,a,d,b,e,d,no
f,b,c,a,e,e,e,e,c,d,no
b,f,e,c,d,d,e,d,c,c,no
e,f,e,b,e,b,c,c,f,c,no
f,b,a,c,c,f,b,d,c,d,no
e,a,d,e,d,d,b,f,a,f,no
b,c,c,e,a,a,e,b,d,c,no
f,a,b,d,a,d,f,c,b,a,no
b,e,c,a,e,d,c,f,c,a,no
b,c,d,a,c,b,c,b,f,f,yes
d,f,c,f,e,d,f,f,c,a,no
b,e,c,a,e,e,d,c,c,e,no
e,e,d,a,c,f,f,d,b,f,yes
e,e,c,d,d,b,a,c,a,b,no
f,f,b,d,e,b,b,c,e,b,no
c,c,d,a,d,a,e,a,f,a,no
d,e,e,d,e,a,e,c,d,b,no
b,e,e,a,c,c,a,d,c,f,no
a,d,b,d,a,b,a,d,f,c,no
e,a,b,f,b,f,f,f,d,c,no
e,c,f,c,f,d,b,f,b,b,no
b,b,b,e,f,b,e,c,b,c,no
d,a,e,b,b,b,b,e,b,b,no
e,b,f,f,d,d,f,a,e,e,no
e,a,d,d,a,c,e,e,f,b,no
c,f,e,b,e,c,f,c,c,b,no
b,c,e,f,f,b,d,a,e,e,yes
b,f,c,d,f,c,a,f,d,a,no
d,e,b,d,b,d,b,a,d,d,no
d,a,d,a,b,c,d,f,a,e,yes
b,b,c,c,f,e,e,d,b,d,no
e,b,c,b,e,a,e,e,a,f,no
f,e,c,c,f,a,d,c,f,f,no
b,e,a,c,d,f,a,b,b,b,yes
f,e,e,f,b,f,a,f,d,f,no
f,d,a,d,b,d,e,b,f,b,no
e,b,b,b,f,b,d,e,c,b,no
c,c,d,f,d,c,f,f,d,c,no
a,f,c,c,e,a,d,e,a,b,no
f,d,a,a,c,f,d,c,d,b,yes
b,f,f,a,d,e,f,f,c,c,yes
f,a,b,c,d,a,a,f,d,c,no
a,c,d,f,b,d,f,e,f,b,yes
b,e,e,c,b,e,b,b,c,e,no
c,b,b,a,f,a,d,e,d,c,no
c,e,d,b,b,d,c,d,f,b,no
d,c,e,f,d,a,d,a,f,e,no
c,c,d,e,e,d,a,d,f,b,no
e,e,b,c,d,e,e,c,e,a,yes
c,b,c,a,f,c,d,d,c,c,no
f,a,a,c,c,b,b,f,c,e,no
a,d,c,e,e,a,e,b,a,b,no
f,e,f,b,c,e,f,e,a,c,yes
d,b,f,e,b,c,c,e,d,a,no
d,a,f,f,f,b,a,f,b,d,no
f,e,e,c,b,d,e,d,e,d,no
e,f,a,d,b,e,d,f,b,c,no
e,f,b,f,a,f,e,d,b,c,no
e,d,e,e,a,d,e,c,e,d,no
a,a,a,d,f,b,e,b,c,c,no
f,c,c,b,f,a,d,e,a,a,no
a,d,f,d,d,a,e,f,d,f,yes
d,b,f,f,c,d,b,d,a,b,no
e,b,b,b,e,c,b,d,c,a,no
e,e,c,a,a,d,b,a,f,a,no
f,f,e,e,a,f,b,d,a,a,no
d,c,b,c,d,f,d,c,b,e,yes
b,c,f,c,d,a,f,f,c,c,yes
e,a,c,c,d,f,b,a,d,e,yes
a,e,a,d,a,d,a,a,a,a,no
b,a,e,e,b,f,c,e,a,a,no
c,e,b,f,d,f,c,d,a,c,no
a,e,d,e,a,d,f,a,f,b,no
a,b,f,d,f,a,d,e,a,b,yes
e,f,d,c,b,d,b,a,e,d,no
a,f,b,a,e,f,f,e,b,d,yes
a,d,f,a,e,b,b,c,c,a,yes
a,d,d,e,b,e,d,f,b,a,no
e,a,f,a,e,c,c,e,c,a,no
a,a,c,d,e,b,d,f,e,a,no
f,b,c,f,d,b,f,c,a,e,no
